ID,annotation
GSM1923445,vα14 inkt thymocyte subset: NKT0
GSM1923446,vα14 inkt thymocyte subset: NKT0
GSM1923447,vα14 inkt thymocyte subset: NKT0
GSM1923448,vα14 inkt thymocyte subset: NKT0
GSM1923449,vα14 inkt thymocyte subset: NKT0
GSM1923450,vα14 inkt thymocyte subset: NKT0
GSM1923451,vα14 inkt thymocyte subset: NKT0
GSM1923452,vα14 inkt thymocyte subset: NKT0
GSM1923453,vα14 inkt thymocyte subset: NKT0
GSM1923454,vα14 inkt thymocyte subset: NKT0
GSM1923455,vα14 inkt thymocyte subset: NKT0
GSM1923456,vα14 inkt thymocyte subset: NKT0
GSM1923457,vα14 inkt thymocyte subset: NKT0
GSM1923458,vα14 inkt thymocyte subset: NKT0
GSM1923459,vα14 inkt thymocyte subset: NKT0
GSM1923460,vα14 inkt thymocyte subset: NKT0
GSM1923461,vα14 inkt thymocyte subset: NKT0
GSM1923462,vα14 inkt thymocyte subset: NKT0
GSM1923463,vα14 inkt thymocyte subset: NKT0
GSM1923464,vα14 inkt thymocyte subset: NKT0
GSM1923465,vα14 inkt thymocyte subset: NKT0
GSM1923466,vα14 inkt thymocyte subset: NKT0
GSM1923467,vα14 inkt thymocyte subset: NKT0
GSM1923468,vα14 inkt thymocyte subset: NKT0
GSM1923469,vα14 inkt thymocyte subset: NKT0
GSM1923470,vα14 inkt thymocyte subset: NKT0
GSM1923471,vα14 inkt thymocyte subset: NKT0
GSM1923472,vα14 inkt thymocyte subset: NKT0
GSM1923473,vα14 inkt thymocyte subset: NKT0
GSM1923474,vα14 inkt thymocyte subset: NKT0
GSM1923475,vα14 inkt thymocyte subset: NKT0
GSM1923476,vα14 inkt thymocyte subset: NKT0
GSM1923477,vα14 inkt thymocyte subset: NKT0
GSM1923478,vα14 inkt thymocyte subset: NKT0
GSM1923479,vα14 inkt thymocyte subset: NKT0
GSM1923480,vα14 inkt thymocyte subset: NKT0
GSM1923481,vα14 inkt thymocyte subset: NKT0
GSM1923482,vα14 inkt thymocyte subset: NKT0
GSM1923483,vα14 inkt thymocyte subset: NKT0
GSM1923484,vα14 inkt thymocyte subset: NKT0
GSM1923485,vα14 inkt thymocyte subset: NKT0
GSM1923486,vα14 inkt thymocyte subset: NKT0
GSM1923487,vα14 inkt thymocyte subset: NKT0
GSM1923488,vα14 inkt thymocyte subset: NKT0
GSM1923489,vα14 inkt thymocyte subset: NKT0
GSM1923490,vα14 inkt thymocyte subset: NKT1
GSM1923491,vα14 inkt thymocyte subset: NKT1
GSM1923492,vα14 inkt thymocyte subset: NKT1
GSM1923493,vα14 inkt thymocyte subset: NKT1
GSM1923494,vα14 inkt thymocyte subset: NKT1
GSM1923495,vα14 inkt thymocyte subset: NKT1
GSM1923496,vα14 inkt thymocyte subset: NKT1
GSM1923497,vα14 inkt thymocyte subset: NKT1
GSM1923498,vα14 inkt thymocyte subset: NKT1
GSM1923499,vα14 inkt thymocyte subset: NKT1
GSM1923500,vα14 inkt thymocyte subset: NKT1
GSM1923501,vα14 inkt thymocyte subset: NKT1
GSM1923502,vα14 inkt thymocyte subset: NKT1
GSM1923503,vα14 inkt thymocyte subset: NKT1
GSM1923504,vα14 inkt thymocyte subset: NKT1
GSM1923505,vα14 inkt thymocyte subset: NKT1
GSM1923506,vα14 inkt thymocyte subset: NKT1
GSM1923507,vα14 inkt thymocyte subset: NKT1
GSM1923508,vα14 inkt thymocyte subset: NKT1
GSM1923509,vα14 inkt thymocyte subset: NKT1
GSM1923510,vα14 inkt thymocyte subset: NKT1
GSM1923511,vα14 inkt thymocyte subset: NKT1
GSM1923512,vα14 inkt thymocyte subset: NKT1
GSM1923513,vα14 inkt thymocyte subset: NKT1
GSM1923514,vα14 inkt thymocyte subset: NKT1
GSM1923515,vα14 inkt thymocyte subset: NKT1
GSM1923516,vα14 inkt thymocyte subset: NKT1
GSM1923517,vα14 inkt thymocyte subset: NKT1
GSM1923518,vα14 inkt thymocyte subset: NKT1
GSM1923519,vα14 inkt thymocyte subset: NKT1
GSM1923520,vα14 inkt thymocyte subset: NKT1
GSM1923521,vα14 inkt thymocyte subset: NKT1
GSM1923522,vα14 inkt thymocyte subset: NKT1
GSM1923523,vα14 inkt thymocyte subset: NKT1
GSM1923524,vα14 inkt thymocyte subset: NKT1
GSM1923525,vα14 inkt thymocyte subset: NKT1
GSM1923526,vα14 inkt thymocyte subset: NKT1
GSM1923527,vα14 inkt thymocyte subset: NKT1
GSM1923528,vα14 inkt thymocyte subset: NKT1
GSM1923529,vα14 inkt thymocyte subset: NKT1
GSM1923530,vα14 inkt thymocyte subset: NKT1
GSM1923531,vα14 inkt thymocyte subset: NKT1
GSM1923532,vα14 inkt thymocyte subset: NKT1
GSM1923533,vα14 inkt thymocyte subset: NKT1
GSM1923534,vα14 inkt thymocyte subset: NKT1
GSM1923535,vα14 inkt thymocyte subset: NKT1
