,0
GSM1657871,cell type: oligodendrocytes
GSM1657873,cell type: oligodendrocytes
GSM1657876,cell type: oligodendrocytes
GSM1657877,cell type: oligodendrocytes
GSM1657881,cell type: oligodendrocytes
GSM1657885,cell type: astrocytes
GSM1657889,cell type: oligodendrocytes
GSM1657890,cell type: oligodendrocytes
GSM1657891,cell type: oligodendrocytes
GSM1657892,cell type: oligodendrocytes
GSM1657893,cell type: OPC
GSM1657894,cell type: oligodendrocytes
GSM1657898,cell type: oligodendrocytes
GSM1657899,cell type: oligodendrocytes
GSM1657900,cell type: oligodendrocytes
GSM1657901,cell type: oligodendrocytes
GSM1657902,cell type: oligodendrocytes
GSM1657903,cell type: OPC
GSM1657904,cell type: OPC
GSM1657906,cell type: OPC
GSM1657907,cell type: OPC
GSM1657908,cell type: OPC
GSM1657909,cell type: OPC
GSM1657910,cell type: microglia
GSM1657911,cell type: OPC
GSM1657913,cell type: OPC
GSM1657914,cell type: OPC
GSM1657915,cell type: OPC
GSM1657916,cell type: OPC
GSM1657917,cell type: OPC
GSM1657918,cell type: microglia
GSM1657919,cell type: microglia
GSM1657920,cell type: OPC
GSM1657921,cell type: OPC
GSM1657922,cell type: OPC
GSM1657923,cell type: microglia
GSM1657924,cell type: OPC
GSM1657925,cell type: microglia
GSM1657926,cell type: microglia
GSM1657927,cell type: microglia
GSM1657928,cell type: OPC
GSM1657930,cell type: neurons
GSM1657931,cell type: neurons
GSM1657932,cell type: astrocytes
GSM1657933,cell type: neurons
GSM1657934,cell type: microglia
GSM1657935,cell type: neurons
GSM1657937,cell type: neurons
GSM1657938,cell type: astrocytes
GSM1657939,cell type: neurons
GSM1657940,cell type: neurons
GSM1657941,cell type: neurons
GSM1657942,cell type: neurons
GSM1657943,cell type: neurons
GSM1657944,cell type: oligodendrocytes
GSM1657945,cell type: neurons
GSM1657946,cell type: neurons
GSM1657948,cell type: neurons
GSM1657949,cell type: neurons
GSM1657950,cell type: neurons
GSM1657951,cell type: neurons
GSM1657952,cell type: neurons
GSM1657953,cell type: neurons
GSM1657954,cell type: neurons
GSM1657955,cell type: neurons
GSM1657956,cell type: neurons
GSM1657957,cell type: neurons
GSM1657958,cell type: neurons
GSM1657959,cell type: neurons
GSM1657960,cell type: neurons
GSM1657961,cell type: neurons
GSM1657962,cell type: neurons
GSM1657963,cell type: neurons
GSM1657964,cell type: neurons
GSM1657965,cell type: astrocytes
GSM1657966,cell type: neurons
GSM1657967,cell type: neurons
GSM1657968,cell type: neurons
GSM1657969,cell type: astrocytes
GSM1657970,cell type: neurons
GSM1657971,cell type: neurons
GSM1657972,cell type: endothelial
GSM1657973,cell type: neurons
GSM1657974,cell type: neurons
GSM1657975,cell type: astrocytes
GSM1657976,cell type: neurons
GSM1657977,cell type: neurons
